age,gender,program,average.first.period,scholarship.perc,loan.perc,retention,dropout.semester,socioeconomic.level,foreign,social.lag
0.5263157894736843,1,10,0.9079522525,0.0,0.0,0,0.75,6,2,1
0.368421052631579,1,3,0.7000000000000001,0.0,0.0,0,0.5,6,2,1
0.2631578947368421,0,14,0.9166666667,0.0,0.0,0,0.5,6,2,1
0.2631578947368421,0,14,0.88,0.25,0.8333333333333334,0,0.5,6,0,1
0.2631578947368421,0,14,0.89,0.0,0.0,0,0.5,6,2,1
0.2105263157894736,0,14,0.0,0.0,0.0,0,0.25,6,0,1
0.1578947368421053,1,15,0.935,0.0,0.0,0,1.0,6,0,1
0.0526315789473684,0,17,0.6783333333,0.0,0.0,0,1.0,6,0,1
0.1052631578947369,0,15,0.855,0.4,0.0,0,1.0,6,0,1
0.0526315789473684,1,15,0.5866666667,0.4,0.0,0,0.5,6,0,1
0.1052631578947369,1,15,0.6716666667,0.0,0.0,0,0.5,6,0,1
0.1052631578947369,1,15,0.8788736025,0.0,0.0,0,0.25,6,0,1
0.3157894736842106,1,4,0.685,0.0,0.0,0,1.0,6,0,1
0.2631578947368421,0,14,0.6266666667,0.3,0.0,0,0.5,6,0,1
0.2105263157894736,1,14,0.9079522525,0.55,0.0,0,0.25,6,0,1
0.3157894736842106,1,1,0.86,0.0,0.0,0,1.0,6,0,1
0.0526315789473684,0,15,0.9866666667,0.6,0.0,0,1.0,6,0,1
0.1052631578947369,0,15,0.7933333333,0.4,0.0,0,0.5,6,0,1
0.1052631578947369,0,15,0.81,0.4,0.0,0,1.0,5,0,1
0.0526315789473684,0,15,0.7416666667,0.1,0.0,0,0.5,3,0,1
0.1052631578947369,1,15,0.8150000000000001,0.4,0.0,0,0.5,6,0,1
0.3157894736842106,1,7,0.835,0.0,0.0,0,0.5,6,2,1
0.3157894736842106,0,4,0.96,0.0,0.0,0,0.25,5,2,1
0.2105263157894736,1,7,0.955,0.2,0.0,0,0.5,5,2,1
0.2105263157894736,0,7,0.8250000000000001,0.15,0.5,0,0.25,6,0,1
0.2631578947368421,1,14,0.64,0.0,0.0,0,1.0,6,0,1
0.3157894736842106,1,14,0.7366666667,0.0,0.0,0,1.0,6,0,2
0.368421052631579,1,3,0.77,0.0,0.0,0,0.5,5,0,1
0.2631578947368421,0,4,0.775,0.0,0.0,0,0.5,6,0,2
0.2105263157894736,0,6,0.855,0.45,0.8333333333333334,0,0.5,5,0,1
0.2631578947368421,0,7,0.795,0.0,0.0,0,0.5,6,0,2
0.2631578947368421,0,3,0.9079522525,0.35,0.0,0,0.5,3,0,1
0.2631578947368421,0,7,0.94,0.2,0.0,0,1.0,3,0,1
0.2105263157894736,0,14,0.8466666667,0.0,0.0,0,0.5,6,0,2
0.3157894736842106,1,5,0.75,0.0,0.0,0,0.5,6,0,1
0.3157894736842106,0,3,0.93,0.0,0.0,0,0.5,6,0,1
0.0526315789473684,0,17,0.7966666667,0.0,0.0,0,1.0,6,0,2
0.1052631578947369,1,17,0.8116666667,0.0,0.0,0,1.0,6,0,1
0.1052631578947369,1,15,0.0,0.4,0.0,0,0.25,6,0,1
0.1052631578947369,1,15,0.785,0.2,0.0,0,1.0,5,0,1
0.1578947368421053,1,15,0.7683333333000001,0.0,0.0,0,1.0,6,0,1
0.1052631578947369,1,15,0.8300000000000001,0.3,0.0,0,0.5,6,0,1
0.2631578947368421,1,6,0.835,0.25,0.8333333333333334,0,0.5,5,0,1
0.2631578947368421,0,3,0.8200000000000001,0.0,0.0,0,1.0,6,0,1
0.2631578947368421,1,14,0.0,0.55,0.8333333333333334,0,0.25,5,0,1
0.3157894736842106,1,7,0.84,0.0,0.0,0,0.5,5,0,1
0.1578947368421053,0,15,0.74,0.0,0.0,0,1.0,5,0,1
0.1052631578947369,1,15,0.7883333333,0.0,0.0,0,0.5,5,0,1
0.1052631578947369,0,15,0.7316666667,0.0,0.0,0,1.0,6,0,2
0.1052631578947369,1,15,0.8233333333,0.4,0.0,0,0.5,6,2,2
0.2631578947368421,0,5,0.9,0.25,0.8333333333333334,0,0.5,5,0,1
0.1052631578947369,0,15,0.8433333333,0.0,0.0,0,0.75,5,2,1
0.2631578947368421,0,3,0.87,0.6,0.6666666666666667,0,0.5,3,2,1
0.1578947368421053,1,17,0.8788736025,0.0,0.0,0,0.25,6,0,2
0.2631578947368421,1,4,0.9079522525,0.4,0.0,0,0.25,3,0,1
0.3157894736842106,1,3,0.9079522525,0.0,0.0,0,1.0,6,0,1
0.3157894736842106,0,7,0.885,0.4,0.0,0,0.5,5,0,1
0.0526315789473684,0,17,0.072,0.0,0.0,0,0.5,5,0,1
0.3157894736842106,0,3,0.9079522525,0.0,0.8333333333333334,0,0.5,3,2,1
0.2631578947368421,0,3,0.91,0.0,1.0,0,0.5,6,1,1
0.2631578947368421,1,3,0.98,0.0,0.0,0,1.0,5,2,1
0.2631578947368421,1,1,0.0,0.0,0.0,0,0.25,6,0,1
0.2631578947368421,0,14,0.0,0.2,0.6666666666666667,0,0.25,2,2,1
0.2105263157894736,0,1,0.99,0.0,0.0,0,1.0,4,2,1
0.2631578947368421,1,5,0.86,0.0,0.0,0,1.0,6,2,1
0.2631578947368421,1,7,0.6950000000000001,0.45,0.8333333333333334,0,0.5,3,2,1
0.2631578947368421,1,14,0.9333333333,0.0,0.0,0,1.0,3,2,1
0.3157894736842106,0,4,0.795,0.0,0.0,0,0.5,0,2,2
0.2631578947368421,0,14,0.8666666667,0.0,0.0,0,0.5,6,0,1
0.3157894736842106,1,6,0.915,0.35,0.8333333333333334,0,0.5,6,0,1
0.2631578947368421,1,3,0.9,0.35,0.8333333333333334,0,0.5,6,0,1
0.3157894736842106,0,18,0.6933333333,0.0,0.0,0,0.5,6,0,1
0.2631578947368421,0,14,0.9166666667,0.0,0.0,0,0.5,6,0,1
0.2631578947368421,0,3,0.8300000000000001,0.0,0.0,0,0.5,5,2,1
0.2631578947368421,1,7,0.8025,0.0,0.0,0,1.0,6,0,1
0.2105263157894736,1,6,0.935,0.5,0.0,0,0.5,6,0,1
0.1578947368421053,1,7,0.9,0.55,0.8333333333333334,0,0.5,6,0,1
0.2631578947368421,0,5,0.85,0.0,0.0,0,1.0,5,2,1
0.2105263157894736,0,18,0.9166666667,0.0,0.0,0,0.5,5,2,1
0.2631578947368421,1,5,0.01,0.5,0.0,0,0.5,3,2,1
0.2105263157894736,1,18,0.05,0.0,0.0,0,0.5,5,2,1
0.1578947368421053,1,7,0.64,0.4,0.0,0,0.5,6,0,1
